"filename", "language", "JSON with Comments", "CSS", "JavaScript", "SVG", "TypeScript", "JSON", "Markdown", "JavaScript React", "HTML", "comment", "blank", "total"
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/AxiomCrafter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 102, 0, 1, 9, 112
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/DurationAxiom.css", "CSS", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/DurationAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 84, 0, 1, 10, 95
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionAxiom.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 156, 0, 7, 16, 179
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionORAxiom.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionORAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 10, 65
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/TimeDistanceAxiom.css", "CSS", 0, 105, 0, 0, 0, 0, 0, 0, 0, 2, 13, 120
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/TimeDistanceAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 95, 0, 1, 10, 106
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/AxiomStats.css", "CSS", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/AxiomStats.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 14, 181
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/ExplanationPanel.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/ExplanationPanel.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/HowToPanel.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/HowToPanel.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 11, 197
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/ResultsPanel.css", "CSS", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 17, 105
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/ResultsPanel.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 11, 88
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/RuleitemsExplainer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/RuleitemsPane.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/RuleitemsPane.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 10, 108
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/handler.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 9, 49
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ExplanationPanel/utils.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 54, 18, 200
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/HowToPanel2.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/HowToPanel2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 8, 62
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyHowToExplanations.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyNotHowToExplanations.css", "CSS", 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 8, 61
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyNotHowToExplanations.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 17, 207
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyNotSuggestions.ts", "TypeScript", 0, 0, 0, 0, 268, 0, 0, 0, 0, 17, 26, 311
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyNotWhatExplanation.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyNotWhatExplanation.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 182, 0, 2, 19, 203
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhySuggestions.ts", "TypeScript", 0, 0, 0, 0, 293, 0, 0, 0, 0, 24, 39, 356
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyWhatExplanation.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/media/kian/Local Disk/HAKEE/my_activity/src/components/HowToPanel/WhyWhatExplanation.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"/media/kian/Local Disk/HAKEE/my_activity/src/components/QuestionMenu/QuestionMenu.css", "CSS", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"/media/kian/Local Disk/HAKEE/my_activity/src/components/QuestionMenu/QuestionMenu.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 17, 95
"/media/kian/Local Disk/HAKEE/my_activity/src/components/Ruleitem.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 7, 12
"/media/kian/Local Disk/HAKEE/my_activity/src/custom.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Banana.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Bottle.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Bowl.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Cabinet.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Cloth.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Coffee.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/CoffeeGrinder.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/CoffeeMachine.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/CoffeeMaker.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/CoffeePot.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Colander.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Container.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Cupboard.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Cutlery.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/CuttingBoard.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Detergent.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Door.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/DownArrow.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Drawer.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Fork.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Fridge.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
